moby_id,platform,Business Model,min_os,supported_system,min_ram,supported_drivers,media_type,gamepads_Supported
182452,Nintendo Switch+,Commercial,,,,,Download; Game Card,
182452,PlayStation 4+,Commercial,,,,,Blu-Ray Disc; Download,DualShock 4
182452,PlayStation 5+,Commercial,,,,,Blu-Ray Disc; Download,DualSense Controller
182452,Windows+,Commercial,Windows 10,x64 (64-bit),8 GB,,Download,Xbox One/Series Wireless Controller
182452,Xbox One+,Commercial,,,,,Blu-Ray Disc; Download,Xbox One/Series Wireless Controller
182452,Xbox Series+,Commercial,,,,,Blu-Ray Disc; Download,Xbox One/Series Wireless Controller
181370,Macintosh+,Commercial,macOS 10.14 (Mojave),,8 GB,,Download,
181370,Nintendo Switch+,Commercial,,,,,Download,
181370,PlayStation 4+,Commercial,,,,,Download,DualShock 4
181370,PlayStation 5+,Commercial,,,,,Download,DualSense Controller
181370,Windows+,Commercial,Windows 10,,8 GB,,Download,
181370,Windows Apps+,Commercial,,x64 (64-bit),,,,
181370,Xbox One+,Commercial,,,,,Download,
181370,Xbox Series+,Commercial,,,,,Download,
168298,Windows+,Commercial,Windows 10,x64 (64-bit),4 GB,,Download,Xbox 360 Controller; Xbox One/Series Wireless Controller
155960,Windows Apps+,Commercial,Windows 10,x64 (64-bit),2 GB,,,
155960,Xbox One+,Commercial,,,,,Download,
155960,Xbox Series+,Commercial,,,,,Download,
191506,Windows+,Commercial,Windows 7,,2 GB,,Download,
166843,Nintendo Switch+,Commercial,,,,,Download; Game Card,
166843,PlayStation 4+,Commercial,,,,,Download,DualShock 4
166843,PlayStation 5+,Commercial,,,,,Download,
166843,Xbox One+,Commercial,,,,,Download,
166843,Xbox Series+,Commercial,,,,,Download,
207330,Windows+,Commercial,Windows 7,x64 (64-bit),8 GB,,,Xbox One/Series Wireless Controller
199774,Windows+,Commercial,Windows 10,x64 (64-bit),8 GB,,,Xbox One/Series Wireless Controller
212038,Nintendo Switch+,Commercial,,,,,Download; Game Card,
208271,Windows+,Commercial,Windows 10,x64 (64-bit),8 GB,,,DualShock 4; DualSense Controller; Xbox One/Series Wireless Controller
168414,PlayStation 5+,Commercial,,,,,Download; UHD Blu-ray Disc,DualSense Controller
168414,Stadia+,Commercial,,,,,,
146084,Windows+,Commercial,Windows 8.1,x64 (64-bit),4 GB,,Download,
152363,Nintendo Switch+,Commercial,,,,,Download; Game Card,
171514,Windows+,Commercial,Windows 10,x64 (64-bit),8 GB,,Download,
194368,Windows+,Commercial,Windows 7,x64 (64-bit),4 GB,,Download,
230234,Windows+,Commercial,Windows 10,x64 (64-bit),8 GB,Direct3D,Download,DualShock 4; DualSense Controller; Xbox One/Series Wireless Controller
195971,Windows+,Commercial,Windows 10,x64 (64-bit),8 GB,Direct3D,Download,
